Landscape;Category;Transect_type;B. bohemicus;B. campestris;B. distinguendus;B. hortorum;B. humilis;B. hypnorum;B. jonellus;B. lapidarius;B. lucorum;B. muscorum;B. pascuorum;B. pratorum;B. ruderarius;B. rupestris;B. soroeensis;B. subterraneus;B. sylvarum;B. sylvestris;B. terrestris
1037;PL.LRD;Between fields;1;0;0;0;5;0;0;2;0;0;0;0;3;0;1;0;0;0;1
1037;PL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
1037;PL.LRD;Pasture;0;0;0;0;1;0;0;1;4;0;6;0;4;0;3;0;0;0;4
1037;PL.LRD;Powerline;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
1037;PL.LRD;Small road;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
1278;PL.LRD;Between fields;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;0
1278;PL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
1278;PL.LRD;Pasture;2;0;0;0;2;0;0;1;0;0;5;0;3;0;0;0;0;0;2
1278;PL.LRD;Powerline;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1
1278;PL.LRD;Small road;1;0;0;0;2;0;0;0;0;1;3;2;0;0;0;0;0;2;2
1450;NoPL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
1450;NoPL.HRD;Pasture;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;1;0;0
1450;NoPL.HRD;Small road;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0
1605;NoPL.HRD;Big road;3;1;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;2;0
1605;NoPL.HRD;Pasture;0;0;0;2;0;1;0;5;5;0;4;4;7;0;2;0;0;0;3
1605;NoPL.HRD;Small road;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1851;PL.HRD;Between fields;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;3
1851;PL.HRD;Big road;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1
1851;PL.HRD;Pasture;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0
1851;PL.HRD;Powerline;0;0;0;0;2;2;0;0;0;0;3;1;0;0;0;0;0;0;0
1851;PL.HRD;Small road;0;0;0;0;0;4;0;0;3;0;14;0;1;0;0;0;0;0;1
2014;PL.HRD;Big road;0;0;0;0;0;1;0;3;4;0;0;0;0;0;0;0;0;0;0
2014;PL.HRD;Pasture;0;3;0;1;0;0;0;0;0;0;9;0;1;1;0;0;1;2;2
2014;PL.HRD;Powerline;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2156;NoPL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2156;NoPL.HRD;Pasture;0;0;0;0;1;1;0;0;3;0;3;0;0;0;0;0;0;0;0
2156;NoPL.HRD;Small road;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0
2333;PL.LRD;Big road;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2333;PL.LRD;Pasture;2;0;0;2;6;0;0;6;3;1;2;0;6;0;7;0;1;1;5
2333;PL.LRD;Powerline;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0
2333;PL.LRD;Small road;1;0;0;5;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0
2844;PL.HRD;Between fields;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2844;PL.HRD;Big road;0;0;0;1;0;1;0;0;6;0;3;2;0;0;0;1;0;2;5
2844;PL.HRD;Pasture;1;0;0;1;0;0;0;0;6;0;13;0;6;0;1;0;2;1;1
2844;PL.HRD;Powerline;0;0;0;0;0;0;0;0;5;2;13;0;0;0;0;0;0;0;3
2844;PL.HRD;Small road;0;2;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;3;0
3897;PL.HRD;Big road;0;0;0;1;0;0;0;0;5;0;2;1;0;0;0;0;0;0;0
3897;PL.HRD;Pasture;0;0;0;4;0;0;0;0;5;0;1;0;0;0;0;0;0;0;1
3897;PL.HRD;Powerline;0;0;0;1;0;0;0;0;9;0;2;0;0;0;0;0;0;0;0
3897;PL.HRD;Small road;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;0;0;0
4091;PL.HRD;Between fields;3;0;0;0;0;0;0;1;2;0;0;5;0;0;2;0;0;0;1
4091;PL.HRD;Big road;0;0;1;11;0;0;0;0;0;0;3;0;1;0;0;4;2;0;2
4091;PL.HRD;Pasture;1;0;0;0;1;0;0;1;2;0;0;0;2;0;2;0;0;0;2
4091;PL.HRD;Powerline;0;1;0;0;0;0;0;2;3;0;3;2;2;0;0;0;0;0;6
4091;PL.HRD;Small road;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0
4319;NoPL.HRD;Between fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;5
4319;NoPL.HRD;Big road;0;0;0;0;3;0;0;7;25;1;14;0;5;0;0;1;4;0;3
4319;NoPL.HRD;Pasture;0;0;0;0;0;0;0;1;5;0;3;0;0;0;0;0;0;0;8
4319;NoPL.HRD;Small road;1;0;0;0;0;0;0;1;2;0;6;5;1;0;3;0;0;0;1
5041;NoPL.HRD;Between fields;0;0;1;0;0;0;0;0;2;0;2;0;1;0;0;0;4;0;2
5041;NoPL.HRD;Big road;0;0;0;0;0;0;0;2;6;0;3;0;2;0;0;0;2;0;2
5041;NoPL.HRD;Pasture;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5041;NoPL.HRD;Small road;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
5166;NoPL.LRD;Between fields;1;0;0;0;0;0;0;1;5;0;0;0;0;0;5;0;1;0;3
5166;NoPL.LRD;Big road;0;0;0;0;0;0;0;40;9;0;2;2;2;0;0;0;3;0;2
5166;NoPL.LRD;Pasture;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;1;2;0;1
5166;NoPL.LRD;Small road;0;0;0;0;1;0;0;12;1;0;4;0;1;0;0;1;1;0;5
5561;PL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5561;PL.LRD;Pasture;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
5561;PL.LRD;Powerline;3;2;0;0;0;0;0;1;3;0;1;0;0;0;2;0;0;0;0
5561;PL.LRD;Small road;0;0;0;0;0;0;0;0;3;0;0;0;6;0;0;0;1;0;2
5683;NoPL.LRD;Big road;0;1;0;0;0;0;0;3;1;0;2;0;0;0;1;1;0;0;0
5683;NoPL.LRD;Pasture;0;0;0;0;0;0;0;3;0;0;3;0;6;0;0;0;0;0;7
5683;NoPL.LRD;Small road;0;0;0;8;1;0;0;14;7;0;21;0;7;1;2;1;1;0;6
5798;PL.HRD;Between fields;0;0;0;0;0;0;0;2;6;0;0;0;3;0;0;0;0;0;1
5798;PL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
5798;PL.HRD;Pasture;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
5798;PL.HRD;Powerline;2;0;0;0;0;0;0;0;3;0;3;0;0;4;0;0;0;2;1
5798;PL.HRD;Small road;1;0;0;0;0;0;0;1;1;0;4;0;2;0;1;0;0;0;2
5834;PL.LRD;Between fields;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5834;PL.LRD;Big road;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
5834;PL.LRD;Pasture;0;1;0;2;0;0;0;1;1;0;1;0;6;0;1;0;0;0;0
5834;PL.LRD;Powerline;0;20;0;0;0;0;0;0;4;0;12;1;0;0;1;0;0;3;0
5834;PL.LRD;Small road;2;0;0;0;0;0;0;1;1;0;7;0;0;0;0;0;0;1;1
5847;NoPL.LRD;Big road;0;0;0;1;0;0;0;0;6;0;12;1;0;0;0;0;1;0;13
5847;NoPL.LRD;Pasture;2;0;0;0;0;0;0;0;10;0;28;5;1;0;3;0;0;0;8
5847;NoPL.LRD;Small road;0;0;0;0;0;0;0;0;0;0;21;3;0;0;0;0;0;1;0
6437;NoPL.LRD;Between fields;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0
6437;NoPL.LRD;Big road;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;4;0;2
6437;NoPL.LRD;Pasture;0;4;0;3;0;0;0;8;1;0;6;0;0;0;0;0;2;0;0
6437;NoPL.LRD;Small road;0;2;0;1;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1
6836;NoPL.HRD;Between fields;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;2
6836;NoPL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0
6836;NoPL.HRD;Pasture;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
6836;NoPL.HRD;Small road;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7073;NoPL.LRD;Between fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
7073;NoPL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
7073;NoPL.LRD;Pasture;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
7073;NoPL.LRD;Small road;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;2
7080;PL.HRD;Between fields;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;2
7080;PL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
7080;PL.HRD;Pasture;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;1
7080;PL.HRD;Powerline;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0
7080;PL.HRD;Small road;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
7103;PL.HRD;Between fields;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0
7103;PL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
7103;PL.HRD;Pasture;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;1;0
7103;PL.HRD;Powerline;0;0;0;0;0;0;0;0;31;0;6;0;0;0;1;0;0;1;4
7103;PL.HRD;Small road;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
7411;NoPL.LRD;Between fields;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
7411;NoPL.LRD;Big road;0;0;0;1;0;1;0;0;1;0;1;0;2;0;0;0;0;0;0
7411;NoPL.LRD;Pasture;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0
7411;NoPL.LRD;Small road;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
8329;NoPL.LRD;Between fields;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
8329;NoPL.LRD;Big road;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0
8329;NoPL.LRD;Pasture;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
8329;NoPL.LRD;Small road;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1
8337;NoPL.HRD;Between fields;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;1
8337;NoPL.HRD;Pasture;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;1;0;1
8337;NoPL.HRD;Small road;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;2;0;2
8768;PL.LRD;Between fields;0;0;0;0;0;1;0;0;6;0;1;1;0;0;0;0;0;0;1
8768;PL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;4;5
8768;PL.LRD;Pasture;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8768;PL.LRD;Powerline;2;0;0;0;1;0;0;1;5;0;14;5;0;0;0;0;2;0;0
8768;PL.LRD;Small road;1;1;0;0;0;0;0;0;3;0;0;3;0;0;0;0;1;2;0
9889;PL.LRD;Between fields;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9889;PL.LRD;Big road;0;0;0;13;0;0;0;1;3;0;3;1;2;0;0;0;5;0;1
9889;PL.LRD;Pasture;0;0;0;0;0;1;0;0;3;0;4;2;0;0;0;0;0;0;1
9889;PL.LRD;Powerline;2;1;0;0;0;0;0;0;4;0;2;6;0;0;0;0;0;0;0
9889;PL.LRD;Small road;1;0;0;0;0;1;0;0;2;0;8;6;0;0;0;0;0;2;0
9931;NoPL.LRD;Between fields;0;0;0;0;0;0;0;6;35;0;0;0;0;0;0;0;0;0;5
9931;NoPL.LRD;Big road;10;0;0;0;0;1;0;0;1;0;4;2;0;0;0;0;0;6;1
9931;NoPL.LRD;Pasture;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;0;0;0;3
9931;NoPL.LRD;Small road;8;5;0;0;0;0;0;0;2;0;1;15;0;1;1;0;0;5;3
10099;NoPL.HRD;Big road;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0
10099;NoPL.HRD;Pasture;0;0;0;2;0;0;0;2;5;0;0;0;0;0;29;0;2;0;27
10099;NoPL.HRD;Small road;0;1;0;0;0;2;0;0;2;0;12;0;0;0;0;0;0;0;7
10156;PL.LRD;Big road;1;1;0;0;0;0;0;0;2;0;7;6;0;0;0;0;0;0;1
10156;PL.LRD;Pasture;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
10156;PL.LRD;Powerline;0;0;0;0;0;0;0;0;9;0;7;1;0;0;2;0;0;0;2
10156;PL.LRD;Small road;0;0;0;0;0;0;0;0;1;0;6;3;0;0;0;0;1;2;0
